df1.product,df1.route,df1.tons,df1.usd
3,1,1000,37072
3,1,500,28214
3,1,9500,74529
3,1,5786,64415
3,1,12445.26,78823
3,1,500,28326
3,1,531.71,29195
3,1,2000,46735
3,1,4100,60259
3,1,20054.76,86396
3,1,900,36699
3,1,5000,62181
3,1,1000,38265
3,1,7300,69384
3,1,9475.27,75054
3,1,23410,88315
3,1,2500,49850
3,2,7.909,3529
3,4,228.362,24734
3,1,1000,37211
3,1,1000,37072
3,1,4000,58889
3,1,5.496,4724
3,1,2000,46451
3,1,50800,95716
3,1,1000,36406
3,1,9485,73920
3,1,167,17002
3,1,94.78,16000
3,1,1214,40609
3,1,1993.02,47093
3,2,500,27877
3,1,1000,36419
3,2,11482.93,77668
4,1,126,11602
4,1,53595.773,92234
4,1,12508.175,67515
4,1,5154.211,54323
4,1,21000,77741
4,1,110,10297
4,1,9100,62344
4,1,37046.86,88024
4,1,21900,78444
4,1,21073,78007
4,1,25010,81221
4,1,46178,90393
4,1,10000,64388
4,1,506,23388
4,1,43965,89863
4,1,20000,77136
4,1,71,8027
4,1,36465.05,86194
4,1,1707,36681
4,1,3318,47282
4,1,3000,44268
4,1,2825,44895
4,1,1285,33015
4,1,5588,55723
4,1,5250,53618
4,5,24596.44,77702
4,1,1000,29228
4,1,14464,71076
4,1,1500,34586
4,1,19502.19,77043
4,1,1520.5,34775
4,1,4277.61,50542
4,1,20341.61,78431
4,1,1251,33604
4,1,8850,61022
4,1,12000,69596
4,1,1873.337,37772
4,1,24000,81103
4,1,44921,90432
4,1,72603.528,94470
4,1,124836.678,97202
4,1,13000,69123
4,1,1200.976,32073
4,1,5265.39,53982
4,1,29000,83996
4,1,1000,29700
4,1,8000,60867
4,1,3000,45131
4,1,17783.69,75676
4,1,1505.25,34763
4,1,1500,35350
4,1,19400,76991
4,1,200,14290
4,1,5000,53072
4,1,2239.549,40748
4,1,2500,41002
4,1,1062.01,30639
4,1,7400,59656
4,1,20901.846,77818
4,1,49918.28,91176
4,1,289908.388,98717
4,2,4000,48003
4,2,7500,57105
4,2,62111.61,92148
4,1,24822.024,81171
4,1,5000,53450
4,1,2000,39058
4,1,500,22359
4,1,2920,44190
4,1,21,3455
4,1,81.45,8798
4,1,6000,55395
4,1,78425,94895
4,1,20000,77438
4,1,250,16301
4,1,22000,78438
4,1,445.608,21519
4,1,3472.595,46790
4,1,5000,51598
4,1,5500,53208
4,1,2000,38841
4,1,2677.405,43562
4,1,70352.27,94317
4,1,1000,29842
4,1,4900,52496
4,1,2000,39275
4,1,943.29,28137
4,1,16000,73994
4,2,13453.59,67347
4,2,72500,93293
4,1,23268.96,79629
4,1,1185,32009
4,1,16141.162,73987
4,1,18818.88,75153
4,1,39570.35,86232
4,1,0.04,71
4,1,3000,44231
4,1,4000,48759
4,1,2000,38670
5,1,13125,69052
5,5,195,14409
5,5,1238.02,32661
5,3,0.002,29
5,1,14000,71767
5,1,645,26142
5,1,13500,70484
5,1,1000,30409
5,1,6000,55384
5,1,25000,78944
5,1,1,1118
5,1,7500,59582
5,1,21.5,3520
5,1,1204,32428
5,1,25000,81553
5,1,0.4,1868
5,1,1000,29870
5,1,17000,74918
5,1,62282,93232
5,1,28000,82783
5,1,153800,97418
5,1,5.484,3204
1,1,40,8111
1,1,6691,43090
1,2,168,16610
1,1,22.902,13015
1,2,54,8476
1,2,40,15472
1,2,88.5,10421
1,2,99.62,14937
1,1,2.4,444
1,1,21,5426
1,1,8442,46241
1,2,300,35112
1,2,891.2,34684
1,4,3.3,2423
1,2,216,18524
1,2,72,14586
1,2,54,9268
1,2,1.005,685
1,2,65.662,15090
1,2,27,4507
1,2,26.6,3967
1,2,694,30809
1,1,252,22478
1,3,0.12,91
1,3,0.2,1377
1,2,27,15177
1,1,6,4089
1,1,1141.166,29916
2,1,19952.358,76493
2,1,19074.86,75708
2,1,6287.78,53946
2,1,13650,66326
2,1,15187.226,68994
2,1,25500,79934
2,1,27000,80368
2,1,16000,71903
2,1,3433.815,45181
2,1,9054.44,60910
2,1,10000,62318
2,1,23978.763,77448
2,1,15126.514,69499
2,1,600,23004
2,1,17864.67,72900
2,1,1500,31293
2,1,3061.12,42189
2,1,27844.745,80009
2,1,9176.78,58066
2,1,645.175,22999
2,1,5500,54129
2,1,13327.04,67298
2,1,18809.1,73169
2,1,23841.32,77384
2,1,5000,49850
2,1,32.77,4182
2,1,16977.891,71453
2,1,4000,46811
2,1,2000,38911
2,1,2000,36596
2,1,101384.435,95795
2,1,56603,90850
2,1,9580,60907
2,1,31120,83709
2,1,1000,29491
2,1,6000,55558
2,1,171949.47,97876
2,2,3250,38335
2,1,2194.975,36281
2,1,12500,65113
2,1,16663.197,69205
2,1,7300,58555
2,1,19402.033,75957
2,1,35173,85000
2,1,31931.785,83318
2,1,2000,38911
2,1,19.4,4903
2,1,107503.038,96047
2,1,18000,72917
2,1,33475,85750
2,1,23400,79745
